"","Utility ID.x","Utility Name.x","Plant Code","Plant Name.x","State.x","County.x","Generator ID","Status","Technology","Prime Mover","Sector Name.x","Sector.x","Nameplate Capacity (MW)","Summer Capacity (MW)","Winter Capacity (MW)","Operating Month","Operating Year","Number of Turbines","Predominant Turbine Manufacturer","Predominant Turbine Model Number","Design Wind Speed (mph)","Wind Quality Class","Turbine Hub Height (Feet)","Utility ID.y","Utility Name.y","Plant Name.y","Street Address","City","State.y","Zip","County.y","Latitude","Longitude","NERC Region","Balancing Authority Code","Balancing Authority Name","Name of Water Source","Primary Purpose (NAICS Code)","Regulatory Status","Sector.y","Sector Name.y","FERC Cogeneration Status","FERC Cogeneration Docket Number","FERC Small Power Producer Status","FERC Small Power Producer Docket Number","FERC Exempt Wholesale Generator Status","FERC Exempt Wholesale Generator Docket Number","Ash Impoundment?","Ash Impoundment Lined?","Ash Impoundment Status","Transmission or Distribution System Owner","Transmission or Distribution System Owner ID","Transmission or Distribution System Owner State","Grid Voltage (kV)","Grid Voltage 2 (kV)","Grid Voltage 3 (kV)","Energy Storage","Natural Gas LDC Name","Natural Gas Pipeline Name 1","Natural Gas Pipeline Name 2","Natural Gas Pipeline Name 3","Pipeline Notes","Natural Gas Storage","Liquefied Natural Gas Storage"
"1247",57170,"EDF Renewable Asset Holdings, Inc.",61261,"Rock Falls Wind Farm LLC","OK","Kay","RF1","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,154.5,154.5,154.5,12,2017,60,"Siemens","SWT-2.3-108",19,2,278,57170,"EDF Renewable Asset Holdings, Inc.","Rock Falls Wind Farm LLC","20999 W. Bender Road","Braman","OK",74632,"Kay",36.927165,-97.4271,"MRO","SWPP","Southwest Power Pool",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,"N","X",NA,"Oklahoma Gas & Electric Co",14063,"OK",138,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1248",60881,"Thunder Ranch Wind Project, LLC",61269,"Thunder Ranch Wind Project","OK","Noble","WT1","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,297.8,297.8,297.8,1,2018,120,"GE","2.5-116",26,2,380,60881,"Thunder Ranch Wind Project, LLC","Thunder Ranch Wind Project","12650 Badlands","Marland","OK",74644,"Noble",36.550834,-97.058944,"MRO","SWPP","Southwest Power Pool",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,"N","X",NA,"Oklahoma Gas & Electric Co",14063,"OK",345,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1249",60882,"Red Dirt Wind Project, LLC",61270,"Red Dirt Wind Project","OK","Kingfisher","RDDRT","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,299.3,299.3,299.3,1,2018,95,"Acciona","AW125/3150",25,2,410,60882,"Red Dirt Wind Project, LLC","Red Dirt Wind Project","8520 N 2930 Road","Hennessy","OK",73742,"Kingfisher",36.1,-97.8,"MRO","SWPP","Southwest Power Pool",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,"N","X",NA,"Oklahoma Gas & Electric Co",14063,"OK",345,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1250",60944,"Bluff Point Wind, LLC",61303,"Bluff Point Wind Facility","IN","Jay","BLUFF","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,119.7,119.7,119.7,12,2017,56,"GE","2.0-116",18,2,301,60944,"Bluff Point Wind, LLC","Bluff Point Wind Facility","358 W 800 S","Portland","IN",47371,"Jay",40.319,-84.9769,"RFC","PJM","PJM Interconnection, LLC",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,"N",NA,NA,"AEP Texas Central Company",3278,"TX",138,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1251",60969,"Hog Creek Wind Project LLC",61330,"Hog Creek Wind Project","OH","Hardin","WT1","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,66,66,66,12,2017,30,"Vestas","V110-2.0",14.5,4,312,60969,"Hog Creek Wind Project LLC","Hog Creek Wind Project","1853 County road . 95","Ada","OH",45810,"Hardin",40.793073,-83.728714,"RFC","PJM","PJM Interconnection, LLC",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,"N","X",NA,"American Transmission Co",659,NA,69,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1252",15399,"Avangrid Renewables LLC",61343,"Karankawa Wind LLC","TX","San Patricio","WT1","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,307.1,307.1,307.1,11,2019,292,"GE","2.5-120",15.1,2,90,15399,"Avangrid Renewables LLC","Karankawa Wind LLC","TBD","Mathis","TX",79019,"San Patricio",28.109303,-97.750481,"TRE","ERCO","Electric Reliability Council of Texas, Inc.",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,"N","X",NA,"AEP Texas Central Company",3278,"TX",345,NA,NA,"N",NA,NA,NA,NA,NA,"X",NA
"1253",60996,"OEE XXV LLC",61356,"Valfilm Wind Project","OH","Hancock","W1","OP","Onshore Wind Turbine","WT","Industrial Non-CHP",6,1.5,1.5,1.5,9,2018,1,"Goldwind","GW 87/1500",14,3,262,60996,"OEE XXV LLC","Valfilm Wind Project","12325 Township Road 99","Findlay","OH",45840,"Hancock",41.084329,-83.644131,"RFC","PJM","PJM Interconnection, LLC",NA,325211,"NR",6,"Industrial Non-CHP","N",NA,"N",NA,"N",NA,"N",NA,NA,"American Transmission Systems Inc",56162,NA,37.5,NA,NA,"N",NA,NA,NA,NA,NA,"N","X"
"1254",60996,"OEE XXV LLC",61356,"Valfilm Wind Project","OH","Hancock","W2","OP","Onshore Wind Turbine","WT","Industrial Non-CHP",6,1.5,1.5,1.5,9,2018,1,"Goldwind","GW 87/1500",14,3,262,60996,"OEE XXV LLC","Valfilm Wind Project","12325 Township Road 99","Findlay","OH",45840,"Hancock",41.084329,-83.644131,"RFC","PJM","PJM Interconnection, LLC",NA,325211,"NR",6,"Industrial Non-CHP","N",NA,"N",NA,"N",NA,"N",NA,NA,"American Transmission Systems Inc",56162,NA,37.5,NA,NA,"N",NA,NA,NA,NA,NA,"N","X"
"1255",57170,"EDF Renewable Asset Holdings, Inc.",61357,"Red Pine Wind Project","MN","Lincoln","RP1","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,200,200,200,12,2017,100,"Vestas","V110-2.0",17.9,2,262,57170,"EDF Renewable Asset Holdings, Inc.","Red Pine Wind Project","2782 260th Ave","Ivanhoe","MN",56142,"Lincoln",44.478,-96.1538,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,"N",NA,NA,"Northern States Power Co - Minnesota",13781,"MN",345,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1256",61037,"Foard City Wind, LLC",61402,"Foard City Wind","TX","Foard","FOARD","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,352.8,350.3,350.3,9,2019,139,"GE","2.5-127",16.8,2,88,61037,"Foard City Wind, LLC","Foard City Wind","195 CR 337","Crowell","TX",79227,"Foard",33.915315,-99.740278,"TRE","ERCO","Electric Reliability Council of Texas, Inc.",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"Y","EG18-100-000","N","X",NA,"AEP Texas North Company",20404,"TX",345,NA,NA,"N",NA,NA,NA,NA,NA,"N","X"
