"","Utility ID.x","Utility Name.x","Plant Code","Plant Name.x","State.x","County.x","Generator ID","Status","Technology","Prime Mover","Sector Name.x","Sector.x","Nameplate Capacity (MW)","Summer Capacity (MW)","Winter Capacity (MW)","Operating Month","Operating Year","Lenses / Mirrors?","Single-Axis Tracking?","Dual-Axis Tracking?","Fixed Tilt?","East West Fixed Tilt?","Parabolic Trough?","Linear Fresnel?","Power Tower?","Dish Engine?","Other Solar Technology?","Azimuth Angle","Tilt Angle","DC Net Capacity (MW)","Crystalline Silicon?","Thin-Film (CdTe)?","Thin-Film (A-Si)?","Thin-Film (CIGS)?","Thin-Film (Other)?","Other Materials?","Net Metering Agreement?","Net Metering DC Capacity (MW)","Virtual Net Metering Agreement?","Virtual Net Metering DC Capacity (MW)","Utility ID.y","Utility Name.y","Plant Name.y","Street Address","City","State.y","Zip","County.y","Latitude","Longitude","NERC Region","Balancing Authority Code","Balancing Authority Name","Name of Water Source","Primary Purpose (NAICS Code)","Regulatory Status","Sector.y","Sector Name.y","FERC Cogeneration Status","FERC Cogeneration Docket Number","FERC Small Power Producer Status","FERC Small Power Producer Docket Number","FERC Exempt Wholesale Generator Status","FERC Exempt Wholesale Generator Docket Number","Ash Impoundment?","Ash Impoundment Lined?","Ash Impoundment Status","Transmission or Distribution System Owner","Transmission or Distribution System Owner ID","Transmission or Distribution System Owner State","Grid Voltage (kV)","Grid Voltage 2 (kV)","Grid Voltage 3 (kV)","Energy Storage","Natural Gas LDC Name","Natural Gas Pipeline Name 1","Natural Gas Pipeline Name 2","Natural Gas Pipeline Name 3","Pipeline Notes","Natural Gas Storage","Liquefied Natural Gas Storage"
"2232",60404,"Constellation Solar Arizona 2, LLC",60684,"Amphitheater High School Solar","AZ","Pima","AHS1","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,1,1,1,12,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,12,1.2,"Y",NA,NA,NA,NA,NA,"Y",1.2,"N",NA,60404,"Constellation Solar Arizona 2, LLC","Amphitheater High School Solar","125 West Yavapai Road","Tucson","AZ",85705,"Pima",32.269,-110.975,"WECC","TEPC","Tucson Electric Power Company",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","17-18","N",NA,NA,NA,NA,"Tucson Electric Power Co",24211,"AZ",13.8,NA,NA,"N",NA,NA,NA,NA,NA,"N",NA
"2233",60404,"Constellation Solar Arizona 2, LLC",60685,"Canyon Del Oro High School Solar","AZ","Pima","CDO1","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,1,1,1,12,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,12,1,"Y",NA,NA,NA,NA,NA,"Y",1,"N",NA,60404,"Constellation Solar Arizona 2, LLC","Canyon Del Oro High School Solar","25 West Calle Concordia","Oro Valley","AZ",85704,"Pima",32.374,-110.974,"WECC","TEPC","Tucson Electric Power Company",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","17-19","N",NA,NA,NA,NA,"Tucson Electric Power Co",24211,"AZ",13.8,0.48,NA,"N",NA,NA,NA,NA,NA,"N",NA
"2234",60404,"Constellation Solar Arizona 2, LLC",60685,"Canyon Del Oro High School Solar","AZ","Pima","CDO2","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,0.1,0.1,0.1,12,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,12,0.1,"Y",NA,NA,NA,NA,NA,"Y",0.1,"N",NA,60404,"Constellation Solar Arizona 2, LLC","Canyon Del Oro High School Solar","25 West Calle Concordia","Oro Valley","AZ",85704,"Pima",32.374,-110.974,"WECC","TEPC","Tucson Electric Power Company",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","17-19","N",NA,NA,NA,NA,"Tucson Electric Power Co",24211,"AZ",13.8,0.48,NA,"N",NA,NA,NA,NA,NA,"N",NA
"2235",60404,"Constellation Solar Arizona 2, LLC",60685,"Canyon Del Oro High School Solar","AZ","Pima","CDO3","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,0.2,0.2,0.2,11,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,12,0.2,"Y",NA,NA,NA,NA,NA,"Y",0.2,"N",NA,60404,"Constellation Solar Arizona 2, LLC","Canyon Del Oro High School Solar","25 West Calle Concordia","Oro Valley","AZ",85704,"Pima",32.374,-110.974,"WECC","TEPC","Tucson Electric Power Company",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","17-19","N",NA,NA,NA,NA,"Tucson Electric Power Co",24211,"AZ",13.8,0.48,NA,"N",NA,NA,NA,NA,NA,"N",NA
"2236",60404,"Constellation Solar Arizona 2, LLC",60685,"Canyon Del Oro High School Solar","AZ","Pima","CDO4","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,0.2,0.2,0.2,11,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,12,0.2,"Y",NA,NA,NA,NA,NA,"Y",0.2,"N",NA,60404,"Constellation Solar Arizona 2, LLC","Canyon Del Oro High School Solar","25 West Calle Concordia","Oro Valley","AZ",85704,"Pima",32.374,-110.974,"WECC","TEPC","Tucson Electric Power Company",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","17-19","N",NA,NA,NA,NA,"Tucson Electric Power Co",24211,"AZ",13.8,0.48,NA,"N",NA,NA,NA,NA,NA,"N",NA
"2237",60408,"Pierre Solar",60686,"Pierre Solar","SD","Hughes","PIERS","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,1,1,1,9,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,30,1.3,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,60408,"Pierre Solar","Pierre Solar","1744 North Airport Road","Pierre","SD",57501,"Hughes",44.388753,-100.307043,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,"N",NA,NA,"Missouri Basin Muni Power Agny",12710,NA,12.47,NA,NA,"N",NA,NA,NA,NA,NA,"N","N"
"2238",60410,"Tanager Holdings, LLC",60691,"Tanager Holdings","NC","Randolph","PV1","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,5,5,5,12,2019,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,180,25,6.8,NA,NA,NA,NA,"Y",NA,"N",NA,"N",NA,60410,"Tanager Holdings, LLC","Tanager Holdings","Interseection of Ward Valley R","Asheboro","NC",27203,"Randolph",35.7527,-79.784627,"SERC","CPLE","Duke Energy Progress East",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","QF16-1292-000","N",NA,"N",NA,NA,"Duke Energy Progress - (NC)",3046,"NC",22.86,NA,NA,"N",NA,NA,NA,NA,NA,"N","N"
"2239",60970,"SunShare Management",60694,"WakeSun LLC","MN","Stearns","MLC27","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,1,1,1,1,2017,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,30,1.4,"Y",NA,NA,NA,NA,NA,"N",NA,"Y",1.4,60970,"SunShare Management","WakeSun LLC","14452 Greystone Road","Cold Spring","MN",56320,"Stearns",45.472889,-94.406417,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","17-121-000, 17-122-000, 17-123-000","N",NA,"N",NA,NA,"Northern States Power Co - Minnesota",13781,"MN",13.8,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"2240",60970,"SunShare Management",60694,"WakeSun LLC","MN","Stearns","MLC28","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,1,1,1,1,2017,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,30,1.4,"Y",NA,NA,NA,NA,NA,"N",NA,"Y",1.4,60970,"SunShare Management","WakeSun LLC","14452 Greystone Road","Cold Spring","MN",56320,"Stearns",45.472889,-94.406417,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","17-121-000, 17-122-000, 17-123-000","N",NA,"N",NA,NA,"Northern States Power Co - Minnesota",13781,"MN",13.8,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"2241",60970,"SunShare Management",60694,"WakeSun LLC","MN","Stearns","MLC29","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,1,1,1,1,2017,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,30,1.3,"Y",NA,NA,NA,NA,NA,"N",NA,"Y",1.3,60970,"SunShare Management","WakeSun LLC","14452 Greystone Road","Cold Spring","MN",56320,"Stearns",45.472889,-94.406417,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","17-121-000, 17-122-000, 17-123-000","N",NA,"N",NA,NA,"Northern States Power Co - Minnesota",13781,"MN",13.8,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
