"","Utility ID.x","Utility Name.x","Plant Code","Plant Name.x","State.x","County.x","Generator ID","Status","Technology","Prime Mover","Sector Name.x","Sector.x","Nameplate Capacity (MW)","Summer Capacity (MW)","Winter Capacity (MW)","Operating Month","Operating Year","Lenses / Mirrors?","Single-Axis Tracking?","Dual-Axis Tracking?","Fixed Tilt?","East West Fixed Tilt?","Parabolic Trough?","Linear Fresnel?","Power Tower?","Dish Engine?","Other Solar Technology?","Azimuth Angle","Tilt Angle","DC Net Capacity (MW)","Crystalline Silicon?","Thin-Film (CdTe)?","Thin-Film (A-Si)?","Thin-Film (CIGS)?","Thin-Film (Other)?","Other Materials?","Net Metering Agreement?","Net Metering DC Capacity (MW)","Virtual Net Metering Agreement?","Virtual Net Metering DC Capacity (MW)","Utility ID.y","Utility Name.y","Plant Name.y","Street Address","City","State.y","Zip","County.y","Latitude","Longitude","NERC Region","Balancing Authority Code","Balancing Authority Name","Name of Water Source","Primary Purpose (NAICS Code)","Regulatory Status","Sector.y","Sector Name.y","FERC Cogeneration Status","FERC Cogeneration Docket Number","FERC Small Power Producer Status","FERC Small Power Producer Docket Number","FERC Exempt Wholesale Generator Status","FERC Exempt Wholesale Generator Docket Number","Ash Impoundment?","Ash Impoundment Lined?","Ash Impoundment Status","Transmission or Distribution System Owner","Transmission or Distribution System Owner ID","Transmission or Distribution System Owner State","Grid Voltage (kV)","Grid Voltage 2 (kV)","Grid Voltage 3 (kV)","Energy Storage","Natural Gas LDC Name","Natural Gas Pipeline Name 1","Natural Gas Pipeline Name 2","Natural Gas Pipeline Name 3","Pipeline Notes","Natural Gas Storage","Liquefied Natural Gas Storage"
"1",16572,"Salt River Project",141,"Agua Fria","AZ","Maricopa","PV-3","OP","Solar Photovoltaic","PV","Electric Utility",1,0.2,0.2,0.2,6,2001,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,180,33.4,0.2,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,16572,"Salt River Project","Agua Fria","7302 W Northern Ave","Glendale","AZ",85303,"Maricopa",33.5561,-112.2153,"WECC","SRP","Salt River Project","Wells",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"Salt River Project",16572,"AZ",230,NA,NA,"N",NA,"EL PASO NATURAL GAS COMPANY LLC",NA,NA,NA,"N",NA
"2",18454,"Tampa Electric Co",645,"Big Bend","FL","Hillsborough","1","OP","Solar Photovoltaic","PV","Electric Utility",1,19,19.4,19.4,2,2017,NA,"Y",NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,23,NA,"Y",NA,NA,NA,NA,"N",NA,"N",NA,18454,"Tampa Electric Co","Big Bend","13031 Wyandotte Road","Apollo Beach","FL",33572,"Hillsborough",27.7944,-82.4036,"SERC","TEC","Tampa Electric Company","Tampa Bay",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"Y","Y","OP","Tampa Electric Co",18454,"FL",230,NA,NA,"N",NA,"FLORIDA GAS TRANSMISSION COMPANY","GULFSTREAM NATURAL GAS SYSTEM LLC",NA,NA,"N","X"
"3",7095,"City of Geneseo - (IL)",944,"Geneseo","IL","Henry","12","OP","Solar Photovoltaic","PV","Electric Utility",1,1.2,0.9,0.9,8,2015,NA,"N",NA,"Y",NA,NA,NA,NA,NA,NA,180,30,1.2,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,7095,"City of Geneseo - (IL)","Geneseo","433 East North Street","Geneseo","IL",61254,"Henry",41.451494,-90.148547,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..","Municipality",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"City of Geneseo - (IL)",7095,"IL",69,NA,NA,"N","NICOR GAS",NA,NA,NA,NA,"X","X"
"4",16179,"Rochelle Municipal Utilities",960,"North Ninth Street","IL","Ogle","SOL1","OP","Solar Photovoltaic","PV","Electric Utility",1,0.3,0.3,0.3,11,2014,NA,"N",NA,"Y",NA,NA,NA,NA,NA,NA,180,25,0.3,"Y",NA,NA,NA,NA,NA,"Y",0.3,"N",NA,16179,"Rochelle Municipal Utilities","North Ninth Street","120 North Ninth Street","Rochelle","IL",61068,"Ogle",41.9093,-89.0498,"RFC","PJM","PJM Interconnection, LLC","Municipality",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"Rochelle Municipal Utilities",16179,"IL",138,NA,NA,"N","NICOR GAS",NA,NA,NA,NA,"N","N"
"5",14201,"City of Osage - (IA)",1172,"Osage (IA)","IA","Mitchell","SO","OP","Solar Photovoltaic","PV","Electric Utility",1,0.8,0.8,0.1,11,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,35,35,0.9,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,14201,"City of Osage - (IA)","Osage (IA)","720 Chestnut","Osage","IA",50461,"Mitchell",43.279722,-92.810556,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..","Municipality",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"City of Osage - (IA)",14201,"IA",69,NA,NA,"N",NA,"NORTHERN NATURAL GAS",NA,NA,NA,"N",NA
"6",10171,"Kentucky Utilities Co",1355,"E W Brown","KY","Mercer","SOLAR","OP","Solar Photovoltaic","PV","Electric Utility",1,10,10,10,5,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,16,10,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,10171,"Kentucky Utilities Co","E W Brown","815 Dix Dam Rd","Harrodsburg","KY",40330,"Mercer",37.78831,-84.71257,"SERC","LGEE","LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities","Herrington Lake",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"Y","Y","OP","Kentucky Utilities Co",10171,"KY",138,NA,NA,"N",NA,"TENNESSEE GAS PIPELINE COMPANY","TEXAS EASTERN TRANSMISSION LP",NA,NA,"N","N"
"7",6779,"City of Fremont - (NE)",2240,"Lon Wright","NE","Dodge","SLR1","OP","Solar Photovoltaic","PV","Electric Utility",1,1.3,1.3,1.3,3,2018,NA,"Y",NA,"N",NA,NA,NA,NA,NA,NA,180,NA,1.5,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,6779,"City of Fremont - (NE)","Lon Wright","2701 East 1st Street","Fremont","NE",68025,"Dodge",41.4281,-96.4623,"MRO","SWPP","Southwest Power Pool","Wells",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"Y","Y","OP","City of Fremont - (NE)",6779,"NE",69,NA,NA,"N",NA,"NORTHERN NATURAL GAS",NA,NA,NA,"N",NA
"8",6779,"City of Fremont - (NE)",2240,"Lon Wright","NE","Dodge","SLR2","OP","Solar Photovoltaic","PV","Electric Utility",1,1,1,1,9,2018,NA,"Y",NA,"N",NA,NA,NA,NA,NA,NA,180,NA,1.2,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,6779,"City of Fremont - (NE)","Lon Wright","2701 East 1st Street","Fremont","NE",68025,"Dodge",41.4281,-96.4623,"MRO","SWPP","Southwest Power Pool","Wells",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"Y","Y","OP","City of Fremont - (NE)",6779,"NE",69,NA,NA,"N",NA,"NORTHERN NATURAL GAS",NA,NA,NA,"N",NA
"9",61919,"Kimura Power LLC",2854,"Yankee Street","OH","Montgomery","YS1","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,1.1,1.1,1.1,3,2010,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,25,1.1,"Y",NA,"Y",NA,NA,NA,"N",NA,"N",NA,61919,"Kimura Power LLC","Yankee Street","9975 Yankee Street","Centerville","OH",45458,"Montgomery",39.603,-84.2047,"RFC","PJM","PJM Interconnection, LLC",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,"N","X",NA,"Dayton Power & Light Co",4922,"OH",69,NA,NA,"N",NA,"COLUMBIA GAS TRANSMISSION CORP",NA,NA,NA,"N","X"
"10",14063,"Oklahoma Gas & Electric Co",2953,"Mustang","OK","Canadian","SLR1","OP","Solar Photovoltaic","PV","Electric Utility",1,2.5,2.5,2.5,8,2015,NA,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,180,25,3,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,14063,"Oklahoma Gas & Electric Co","Mustang","701 N. Mustang Plant Rd.","Oklahoma City","OK",73127,"Canadian",35.46988,-97.67498,"MRO","SWPP","Southwest Power Pool",NA,22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"Oklahoma Gas & Electric Co",14063,"OK",138,69,NA,"N",NA,"ONEOK GAS TRANSPORTATION",NA,NA,NA,"N","X"
"11",56211,"Evergy Missouri West",6074,"Greenwood (MO)","MO","Jackson","5","OP","Solar Photovoltaic","PV","Electric Utility",1,3,3,3,6,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,185,15,3.6,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,56211,"Evergy Missouri West","Greenwood (MO)","14015 S. Smart Rd.","Greenwood","MO",64034,"Jackson",38.8615,-94.2982,"MRO","SWPP","Southwest Power Pool",NA,22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"Kansas City Power & Light Co",10000,"MO",161,NA,NA,"N",NA,"SOUTHERN STAR CENTRAL GAS PIPELINE",NA,NA,NA,"N","X"
"12",17127,"Town of Shrewsbury - (MA)",6125,"Shrewsbury","MA","Worcester","S1","OP","Solar Photovoltaic","PV","Electric Utility",1,3,3,3,6,2018,NA,"N",NA,"Y",NA,NA,NA,NA,NA,NA,0,15,3.9,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,17127,"Town of Shrewsbury - (MA)","Shrewsbury","518 Rear Boston Turnpike","Shrewsbury","MA",1545,"Worcester",42.2747,-71.7172,"NPCC","ISNE","ISO New England Inc.",NA,22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"Massachusetts Electric Co",11804,"MA",115,NA,NA,"N","NSTAR GAS COMPANY",NA,NA,NA,NA,"X","X"
"13",24211,"Tucson Electric Power Co",8223,"Springerville","AZ","Apache","SGSS","OP","Solar Photovoltaic","PV","Electric Utility",1,3.7,3.7,3.7,5,2001,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,25,4.6,"Y","Y",NA,NA,NA,NA,"N",NA,"N",NA,24211,"Tucson Electric Power Co","Springerville","County Road #4162","Springerville","AZ",85938,"Apache",34.3186,-109.1639,"WECC","TEPC","Tucson Electric Power Company","Wells",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"Tucson Electric Power Co",24211,"AZ",345,NA,NA,"N",NA,NA,NA,NA,NA,"X","X"
"14",24211,"Tucson Electric Power Co",8223,"Springerville","AZ","Apache","SGSS1","OP","Solar Photovoltaic","PV","Electric Utility",1,1.4,1.4,1.4,12,2010,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,25,1.8,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,24211,"Tucson Electric Power Co","Springerville","County Road #4162","Springerville","AZ",85938,"Apache",34.3186,-109.1639,"WECC","TEPC","Tucson Electric Power Company","Wells",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"Tucson Electric Power Co",24211,"AZ",345,NA,NA,"N",NA,NA,NA,NA,NA,"X","X"
"15",24211,"Tucson Electric Power Co",8223,"Springerville","AZ","Apache","WMS","OP","Solar Photovoltaic","PV","Electric Utility",1,8.3,8.3,8.3,12,2014,"N","Y",NA,"N",NA,NA,NA,NA,NA,NA,180,25,10,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,24211,"Tucson Electric Power Co","Springerville","County Road #4162","Springerville","AZ",85938,"Apache",34.3186,-109.1639,"WECC","TEPC","Tucson Electric Power Company","Wells",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"Tucson Electric Power Co",24211,"AZ",345,NA,NA,"N",NA,NA,NA,NA,NA,"X","X"
"16",7049,"General Electric Aircraft Engines",10029,"General Electric Aircraft Engines","MA","Essex","PV","OP","Solar Photovoltaic","PV","Industrial CHP",7,2.1,2.1,2.1,5,2017,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,25,2.1,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,7049,"General Electric Aircraft Engines","General Electric Aircraft Engines","1000 Western Avenue","Lynn","MA",1910,"Essex",42.45,-70.9739,"NPCC","ISNE","ISO New England Inc.","Saugus River",336,"NR",7,"Industrial CHP","Y","87-506-001","N",NA,"N",NA,"N","X",NA,"Massachusetts Electric Co",11804,"MA",115,NA,NA,"N",NA,"TENNESSEE GAS PIPELINE COMPANY",NA,NA,NA,"N","N"
"17",12311,"Merck & Co Inc",10224,"Merck Rahway Power Plant","NJ","Union","SOLAR","OP","Solar Photovoltaic","PV","Industrial CHP",7,0.5,0.4,0.4,12,2005,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,229,5,0.5,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,12311,"Merck & Co Inc","Merck Rahway Power Plant","126 E. Lincoln Ave","Rahway","NJ",7065,"Union",40.615616,-74.26529,"RFC","PJM","PJM Interconnection, LLC","Municipality",325,"NR",7,"Industrial CHP","N",NA,"N",NA,"N",NA,"N","X",NA,"Public Service Elec & Gas Co",15477,"NJ",26.4,NA,NA,"N","Other - See pipeline notes.",NA,NA,NA,"Elizabethtown Gas","N","N"
"18",60246,"Sunray Energy 2, LLC",10437,"Sunray 2","CA","San Bernardino","SUN2","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,20,20,18.5,6,2017,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,180,NA,26.9,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,60246,"Sunray Energy 2, LLC","Sunray 2","35100 Santa Fe Street","Daggett","CA",92327,"San Bernardino",34.863356,-116.827627,"WECC","CISO","California Independent System Operator",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,NA,"X",NA,"Southern California Edison Co",17609,"CA",115,NA,NA,"N",NA,NA,NA,NA,NA,"N","N"
"19",60247,"Sunray Energy 3 LLC",10438,"Sunray 3","CA","San Bernardino","SUN3","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,13.8,13.8,13,6,2017,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,180,NA,13.8,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,60247,"Sunray Energy 3 LLC","Sunray 3","35100 Santa Fe St","Daggett","CA",92327,"San Bernardino",34.863356,-116.827627,"WECC","CISO","California Independent System Operator",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,NA,"X",NA,"Southern California Edison Co",17609,"CA",34.5,NA,NA,"N",NA,NA,NA,NA,NA,"N","N"
"20",55711,"FPL Energy Operating Services Inc - SEGS",10439,"SEGS III","CA","San Bernardino","GEN1","OS","Solar Thermal without Energy Storage","ST","IPP Non-CHP",2,34.2,36,34,12,1986,"Y","Y",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,55711,"FPL Energy Operating Services Inc - SEGS","SEGS III","41100 Hwy 395","Boron","CA",93516,"San Bernardino",35.00694,-117.555768,"WECC","CISO","California Independent System Operator","Avek Water Agency",22,"NR",2,"IPP Non-CHP","N",NA,"Y","86-734-000","N",NA,"N","X",NA,"Southern California Edison Co",17609,"CA",115,NA,NA,"N",NA,"PACIFIC GAS",NA,NA,NA,"N","X"
"21",55711,"FPL Energy Operating Services Inc - SEGS",10440,"SEGS IV","CA","San Bernardino","GEN1","OS","Solar Thermal without Energy Storage","ST","IPP Non-CHP",2,34.2,36,34,12,1986,"Y","Y",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,55711,"FPL Energy Operating Services Inc - SEGS","SEGS IV","41100 Hwy 395","Boron","CA",93516,"San Bernardino",35.012166,-117.555672,"WECC","CISO","California Independent System Operator","Avek Water Agency",22,"NR",2,"IPP Non-CHP","N",NA,"Y","86-736-000","N",NA,"N","X",NA,"Southern California Edison Co",17609,"CA",115,NA,NA,"N",NA,"PACIFIC GAS",NA,NA,NA,"N","X"
"22",55711,"FPL Energy Operating Services Inc - SEGS",10441,"SEGS V","CA","San Bernardino","GEN1","OS","Solar Thermal without Energy Storage","ST","IPP Non-CHP",2,34.2,36,34,10,1987,"Y","Y",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,55711,"FPL Energy Operating Services Inc - SEGS","SEGS V","41100 Hwy 395","Boron","CA",93516,"San Bernardino",35.01948,-117.55553,"WECC","CISO","California Independent System Operator","Avek Water Agency",22,"NR",2,"IPP Non-CHP","N",NA,"Y","87-402-000","N",NA,"N","X",NA,"Southern California Edison Co",17609,"CA",115,NA,NA,"N",NA,"PACIFIC GAS",NA,NA,NA,"N","X"
"23",55711,"FPL Energy Operating Services Inc - SEGS",10442,"SEGS VI","CA","San Bernardino","GEN1","OS","Solar Thermal without Energy Storage","ST","IPP Non-CHP",2,35,36,35,12,1988,"Y","Y",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,55711,"FPL Energy Operating Services Inc - SEGS","SEGS VI","41100 Hwy 395","Boron","CA",93516,"San Bernardino",35.020981,-117.566079,"WECC","CISO","California Independent System Operator","Avek Water Agency",22,"NR",2,"IPP Non-CHP","N",NA,"Y","88-33-000","N",NA,"N","X",NA,"Southern California Edison Co",17609,"CA",115,NA,NA,"N",NA,"PACIFIC GAS",NA,NA,NA,"N","X"
"24",55711,"FPL Energy Operating Services Inc - SEGS",10443,"SEGS VII","CA","San Bernardino","GEN1","OS","Solar Thermal without Energy Storage","ST","IPP Non-CHP",2,35,36,35,12,1988,"Y","Y",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,55711,"FPL Energy Operating Services Inc - SEGS","SEGS VII","41100 Highway 395","Boron","CA",93516,"San Bernardino",35.014836,-117.565903,"WECC","CISO","California Independent System Operator","Avek Water Agency",22,"NR",2,"IPP Non-CHP","N",NA,"Y","88-34-000","N",NA,"N","X",NA,"Southern California Edison Co",17609,"CA",115,NA,NA,"N",NA,"PACIFIC GAS",NA,NA,NA,"N","X"
"25",61950,"Terra-Gen Operating Co-Solar",10444,"SEGS VIII","CA","San Bernardino","GEN1","OP","Solar Thermal without Energy Storage","ST","IPP Non-CHP",2,92,88,64,12,1989,"Y","Y",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,61950,"Terra-Gen Operating Co-Solar","SEGS VIII","43880 Harper Lake Road","Hinkley","CA",92347,"San Bernardino",35.0308,-117.3563,"WECC","CISO","California Independent System Operator","Ground Water",22,"NR",2,"IPP Non-CHP","N",NA,"Y","88-470-000","N",NA,"N","X",NA,"Southern California Edison Co",17609,"CA",220,NA,NA,"N",NA,"SOUTHWEST GAS CORPORATION",NA,NA,NA,"N","X"
"26",61950,"Terra-Gen Operating Co-Solar",10446,"SEGS IX","CA","San Bernardino","GEN1","OP","Solar Thermal without Energy Storage","ST","IPP Non-CHP",2,92,88,64,9,1990,"Y","Y",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,61950,"Terra-Gen Operating Co-Solar","SEGS IX","43880 Harper Lake Road","Hinkley","CA",92347,"San Bernardino",35.033,-117.338,"WECC","CISO","California Independent System Operator","Ground Water",22,"NR",2,"IPP Non-CHP","N",NA,"Y","88-472-000","N",NA,"N","X",NA,"Southern California Edison Co",17609,"CA",220,NA,NA,"N",NA,"SOUTHWEST GAS CORPORATION",NA,NA,NA,"N","X"
"27",11427,"Massachusetts Wtr Rauth-Deer I",10823,"Deer Island Treatment Plant","MA","Suffolk","PV101","OP","Solar Photovoltaic","PV","Commercial CHP",5,0.1,0.1,0.1,5,2008,NA,"N",NA,"Y",NA,NA,NA,NA,NA,NA,180,15,0.7,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,11427,"Massachusetts Wtr Rauth-Deer I","Deer Island Treatment Plant","190 Tafts Avenue","Winthrop","MA",2152,"Suffolk",42.353333,-70.962778,"NPCC","ISNE","ISO New England Inc.","Municipality",22132,"NR",5,"Commercial CHP","N",NA,"Y","89-80-000","N",NA,NA,"X",NA,"NSTAR Electric Company",54913,"MA",14,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"28",16625,"San Diego State University",50061,"San Diego State University","CA","San Diego","GEN5","OP","Solar Photovoltaic","PV","Commercial CHP",5,0.1,0.1,0.1,9,2009,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,185,35,0.1,"Y",NA,NA,NA,NA,NA,"Y",0.1,"N",NA,16625,"San Diego State University","San Diego State University","5500 Campanile Drive","San Diego","CA",92182,"San Diego",32.778225,-117.070114,"WECC","CISO","California Independent System Operator","City Of San Diego",611,"NR",5,"Commercial CHP","Y","85-626-000","N",NA,"N",NA,"N","X",NA,"San Diego Gas & Electric Co",16609,"CA",12,NA,NA,"N","SAN DIEGO GAS AND ELECTRIC COMPANY",NA,NA,NA,NA,"N","X"
"29",16625,"San Diego State University",50061,"San Diego State University","CA","San Diego","GEN6","OP","Solar Photovoltaic","PV","Commercial CHP",5,0.3,0.3,0.2,10,2011,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,265,5,0.4,"Y",NA,NA,NA,NA,NA,"Y",0.4,"N",NA,16625,"San Diego State University","San Diego State University","5500 Campanile Drive","San Diego","CA",92182,"San Diego",32.778225,-117.070114,"WECC","CISO","California Independent System Operator","City Of San Diego",611,"NR",5,"Commercial CHP","Y","85-626-000","N",NA,"N",NA,"N","X",NA,"San Diego Gas & Electric Co",16609,"CA",12,NA,NA,"N","SAN DIEGO GAS AND ELECTRIC COMPANY",NA,NA,NA,NA,"N","X"
"30",16625,"San Diego State University",50061,"San Diego State University","CA","San Diego","GEN7","OP","Solar Photovoltaic","PV","Commercial CHP",5,0.3,0.3,0.2,4,2012,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,15,0.3,"Y",NA,NA,NA,NA,NA,"Y",0.3,"N",NA,16625,"San Diego State University","San Diego State University","5500 Campanile Drive","San Diego","CA",92182,"San Diego",32.778225,-117.070114,"WECC","CISO","California Independent System Operator","City Of San Diego",611,"NR",5,"Commercial CHP","Y","85-626-000","N",NA,"N",NA,"N","X",NA,"San Diego Gas & Electric Co",16609,"CA",12,NA,NA,"N","SAN DIEGO GAS AND ELECTRIC COMPANY",NA,NA,NA,NA,"N","X"
"31",16625,"San Diego State University",50061,"San Diego State University","CA","San Diego","GEN8","OP","Solar Photovoltaic","PV","Commercial CHP",5,0.1,0.1,0.1,3,2014,NA,NA,NA,"Y",NA,NA,NA,NA,NA,"N",180,10,0.1,"Y",NA,NA,NA,NA,NA,"Y",0.1,"N",NA,16625,"San Diego State University","San Diego State University","5500 Campanile Drive","San Diego","CA",92182,"San Diego",32.778225,-117.070114,"WECC","CISO","California Independent System Operator","City Of San Diego",611,"NR",5,"Commercial CHP","Y","85-626-000","N",NA,"N",NA,"N","X",NA,"San Diego Gas & Electric Co",16609,"CA",12,NA,NA,"N","SAN DIEGO GAS AND ELECTRIC COMPANY",NA,NA,NA,NA,"N","X"
"32",50131,"Enel Stillwater LLC",50765,"Stillwater Facility","NV","Churchill","1","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,22,21.8,21.8,4,2012,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,16.2,26.2,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,50131,"Enel Stillwater LLC","Stillwater Facility","4785 Lawrence Lane","Fallon","NV",89406,"Churchill",39.547537,-118.555613,"WECC","NEVP","Nevada Power Company","Wells",22,"NR",2,"IPP Non-CHP","N",NA,"Y","87-039-000;  89-039-000","N",NA,NA,"X",NA,"Sierra Pacific Power Co",17166,"NV",60,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"33",13943,"Ocean County Utilities Auth",54569,"Bayville Central Facility","NJ","Ocean","CPV1","OP","Solar Photovoltaic","PV","Commercial CHP",5,0.2,0.2,0.1,5,2007,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,90,10,0.2,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,13943,"Ocean County Utilities Auth","Bayville Central Facility","501 Hickory Lane","Bayville","NJ",8721,"Ocean",39.909424,-74.178041,"RFC","PJM","PJM Interconnection, LLC","Treated Plant Effluent",22132,"NR",5,"Commercial CHP","Y","89-276-000","N",NA,"N",NA,"N","X",NA,"Jersey Central Power & Lt Co",9726,"NJ",34.5,NA,NA,"N","NEW JERSEY NATURAL GAS",NA,NA,NA,NA,"N",NA
"34",803,"Arizona Public Service Co",56228,"Prescott Airport","AZ","Yavapai","PV1","OP","Solar Photovoltaic","PV","Electric Utility",1,3,3,3,10,2002,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,30,30,3.4,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,803,"Arizona Public Service Co","Prescott Airport","Melville Road","Prescott","AZ",86301,"Yavapai",34.6584,-112.4008,"WECC","AZPS","Arizona Public Service Company",NA,22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"Arizona Public Service Co",803,"AZ",69,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"35",15500,"Puget Sound Energy Inc",56322,"Wild Horse","WA","Kittitas","WHS1","OP","Solar Photovoltaic","PV","Electric Utility",1,0.5,0.5,0.5,10,2007,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,37,0.5,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,15500,"Puget Sound Energy Inc","Wild Horse","25901 Vantage Hwy","Ellensburg","WA",98926,"Kittitas",47.036269,-120.206494,"WECC","PSEI","Puget Sound Energy","N.A.",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"Puget Sound Energy Inc",15500,"WA",230,NA,NA,"N",NA,NA,NA,NA,NA,"N","X"
"36",55744,"Acciona Solar Power",56405,"Nevada Solar One","NV","Clark","ONE","OP","Solar Thermal without Energy Storage","ST","IPP Non-CHP",2,75.7,68.5,40,6,2007,NA,"Y",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,55744,"Acciona Solar Power","Nevada Solar One","602 Eldorado Valley Dr","Boulder City","NV",89005,"Clark",35.799798,-114.98173,"WECC","NEVP","Nevada Power Company","Boulder City",22,"NR",2,"IPP Non-CHP","N",NA,"Y","07-19-000","N",NA,"N","X",NA,"Nevada Power Co",13407,"NV",230,NA,NA,"N",NA,"SOUTHWEST GAS CORPORATION",NA,NA,NA,"N","X"
